fpr,tpr
3.288975133125713e-05,0.0004732544575904016
3.377866352939922e-05,0.0004732544575904016
3.377866352939922e-05,0.0004799200133311115
3.46675757275413e-05,0.0004799200133311115
3.46675757275413e-05,0.0004932511248125313
3.555648792568339e-05,0.0004999166805532411
3.555648792568339e-05,0.0005132477920346609
3.6000944024754426e-05,0.0005132477920346609
3.6000944024754426e-05,0.0005199133477753708
3.644540012382547e-05,0.0005265789035160806
3.644540012382547e-05,0.0005465755707382103
3.688985622289651e-05,0.0005465755707382103
3.688985622289651e-05,0.0005599066822196301
3.688985622289651e-05,0.0005865689051824695
3.822322452010964e-05,0.0005865689051824695
3.9112136718251725e-05,0.0005865689051824695
4.044550501546485e-05,0.0005865689051824695
4.088996111453589e-05,0.0005932344609231795
4.133441721360693e-05,0.0005932344609231795
4.133441721360693e-05,0.0006065655724045992
4.133441721360693e-05,0.0006132311281453091
4.177887331267798e-05,0.0006132311281453091
4.177887331267798e-05,0.000619896683886019
4.2223329411749016e-05,0.000619896683886019
4.2223329411749016e-05,0.0006265622396267288
4.2223329411749016e-05,0.0006398933511081486
4.266778551082006e-05,0.0006398933511081486
4.266778551082006e-05,0.0006665555740709882
4.444560990710423e-05,0.0006665555740709882
4.444560990710423e-05,0.0006732211298116981
4.4890066006175276e-05,0.0006732211298116981
4.4890066006175276e-05,0.0006798866855524079
4.4890066006175276e-05,0.0006932177970338277
4.5334522105246315e-05,0.0006932177970338277
4.5334522105246315e-05,0.0006998833527745375
4.62234343033884e-05,0.0006998833527745375
4.62234343033884e-05,0.0007065489085152475
4.6667890402459445e-05,0.0007065489085152475
4.6667890402459445e-05,0.000733211131478087
4.7112346501530484e-05,0.000733211131478087
4.7112346501530484e-05,0.0007465422429595068
4.755680260060153e-05,0.0007465422429595068
4.8445714798743613e-05,0.0007465422429595068
4.889017089781465e-05,0.0007465422429595068
4.889017089781465e-05,0.0007532077987002166
4.93346269968857e-05,0.0007532077987002166
4.93346269968857e-05,0.0007598733544409265
5.066799529409882e-05,0.0007598733544409265
5.066799529409882e-05,0.0007732044659223463
5.1112451393169866e-05,0.0007732044659223463
5.1112451393169866e-05,0.0007932011331444759
5.1556907492240905e-05,0.0007998666888851858
5.1556907492240905e-05,0.0008265289118480253
5.1556907492240905e-05,0.0008398600233294451
5.1556907492240905e-05,0.0008598566905515748
5.200136359131195e-05,0.0008598566905515748
5.200136359131195e-05,0.0008731878020329945
5.2890275789454035e-05,0.0008731878020329945
5.3334731888525074e-05,0.0008731878020329945
5.3334731888525074e-05,0.0008931844692551241
5.3334731888525074e-05,0.0008998500249958341
5.422364408666716e-05,0.0008998500249958341
5.422364408666716e-05,0.0009131811364772538
5.4668100185738204e-05,0.0009131811364772538
5.4668100185738204e-05,0.0009265122479586736
5.511255628480925e-05,0.0009265122479586736
5.511255628480925e-05,0.0009398433594400934
5.6001468482951334e-05,0.0009465089151808032
5.6001468482951334e-05,0.000959840026662223
5.689038068109342e-05,0.000959840026662223
5.689038068109342e-05,0.0009865022496250626
5.689038068109342e-05,0.0010064989168471921
5.689038068109342e-05,0.001013164472587902
5.689038068109342e-05,0.0010264955840693219
5.689038068109342e-05,0.0010331611398100317
5.733483678016446e-05,0.0010398266955507416
5.733483678016446e-05,0.0010464922512914514
5.77792928792355e-05,0.0010464922512914514
5.822374897830654e-05,0.001059823362772871
5.866820507737759e-05,0.001059823362772871
5.866820507737759e-05,0.0010664889185135812
5.955711727551967e-05,0.0010664889185135812
5.955711727551967e-05,0.001073154474254291
6.0890485572732794e-05,0.001073154474254291
6.133494167180384e-05,0.0010798200299950008
6.177939777087488e-05,0.0010798200299950008
6.177939777087488e-05,0.0010931511414764205
6.222385386994592e-05,0.0011064822529578404
